country,kmeans_cluster,dbscan_cluster,development_status,renewable_growth_rate,fossil_reduction_rate,energy_intensity_improvement,low_carbon_change,solar_wind_growth,current_renewable_share,current_fossil_share,cluster_name
Africa,3,0,Developing,0.32422802850356297,0.019573704188340153,0.0,1.8100000000000005,1.593,8.92,90.661,Rapid Shifters
Africa (EI),3,0,Developing,0.32422802850356297,0.019573704188340153,0.0,1.8100000000000005,1.593,8.92,90.661,Rapid Shifters
Algeria,3,0,Developed,1.1111111111111112,0.001201297401193192,-0.26488706365503084,0.12000000000000001,0.217,0.228,99.772,Rapid Shifters
Argentina,3,0,Developed,0.08276235124413985,0.007134213104362355,-0.04274265360641143,0.6189999999999998,4.217,12.01,86.146,Rapid Shifters
Asia,0,0,Developing,1.0254131864226055,0.059558232058612506,0.0,5.478999999999999,4.156999999999999,11.397,86.515,Fossil Dependent
Asia Pacific (EI),0,0,Developing,1.0710191082802547,0.06932914023069388,0.0,6.305,4.812,13.006,84.638,Fossil Dependent
Australia,0,0,Developed,2.24045988258317,0.09549378597047299,0.18642951251646897,9.158999999999999,9.046999999999999,13.247,86.753,Fossil Dependent
Austria,0,0,Developed,0.1667386178726796,0.07184454905776469,0.2307073954983923,5.021000000000001,5.877,35.134,64.866,Fossil Dependent
Azerbaijan,3,0,Developed,-0.6883634809856146,-0.051979479237247106,-0.3471910112359551,-4.833,0.16699999999999998,2.188,97.812,Rapid Shifters
Bangladesh,3,0,Developing,-0.16906474820143888,-0.0014218582982071007,0.04936305732484081,-0.14100000000000001,0.262,0.693,99.307,Rapid Shifters
Belarus,3,0,Developed,3.551587301587302,0.047048562377190496,0.06243213897937024,4.6930000000000005,0.31,1.147,95.055,Rapid Shifters
Belgium,0,0,Developed,2.33952,0.08141760071575921,0.23763440860215063,6.552,6.2139999999999995,10.436,73.922,Fossil Dependent
Brazil,0,0,Developed,0.12127984942947874,0.08745402533714748,-0.035366931918656086,4.921999999999997,7.347999999999999,47.66,51.359,Fossil Dependent
Bulgaria,0,0,Developed,0.656930283824745,0.04890575242225076,0.14492006188757098,3.6090000000000018,3.0170000000000003,12.026,70.186,Fossil Dependent
CIS (EI),3,0,Developing,-0.002413377003964874,0.005011552241804583,0.0,0.44899999999999984,0.272,5.787,89.144,Rapid Shifters
Canada,0,0,Developed,0.11028719840403507,0.030543340538123166,0.15818997756170533,2.0489999999999995,2.22,29.497,65.036,Fossil Dependent
Central America (EI),0,0,Developing,0.14873752645902627,0.053505384531708944,0.0,3.9349999999999987,3.601,30.391,69.609,Fossil Dependent
Chile,0,0,Developed,0.37685444274325547,0.08805931482006922,0.007950530035335598,7.138000000000002,11.939,26.079,73.921,Fossil Dependent
China,0,0,Developed,1.115079916608756,0.10503408153518871,0.2694690265486725,9.677000000000001,6.1770000000000005,15.218,82.455,Fossil Dependent
Colombia,3,0,Developed,0.03576120274412496,0.013499366356273128,0.025374855824682838,0.9800000000000004,0.20600000000000002,28.384,71.616,Rapid Shifters
Croatia,0,0,Developed,0.10287902799788694,0.030239118058071567,0.3160660660660661,2.3369999999999997,5.777,25.053,74.947,Fossil Dependent
Cyprus,0,0,Developed,6.091324200913242,0.0674384510388757,0.25881410256410253,6.67,6.143999999999999,7.765,92.235,Fossil Dependent
Czechia,0,0,Developed,0.9941473796222401,0.08004000780640122,0.30939809926082357,6.562000000000001,1.2389999999999999,7.496,75.422,Fossil Dependent
Denmark,1,-1,Developed,1.7243705336271957,0.30365648558693126,0.3451059535822401,25.819000000000003,18.682,40.792,59.208,Steady Transitioners
Eastern Africa (EI),3,0,Developing,-0.07349620795461129,-0.03879060103278641,0.0,-2.5390000000000015,1.466,32.007,67.993,Rapid Shifters
Ecuador,0,-1,Developing,0.877915042610821,0.15659356845739605,-0.13066666666666668,13.288999999999998,0.105,28.426,71.574,Fossil Dependent
Egypt,3,0,Developed,0.3546927108146736,0.01554247301726482,0.2369477911646586,1.4889999999999999,2.003,5.687,94.313,Rapid Shifters
Estonia,0,0,Developed,2.023059360730594,0.09266889772014227,0.4028668427008676,8.861,3.9410000000000003,13.241,86.759,Fossil Dependent
Europe,0,0,Developing,0.6313368872164732,0.05422562331515454,0.0,4.364999999999998,5.038,15.607,76.132,Fossil Dependent
Europe (EI),0,0,Developing,0.7946929904002898,0.07940513398575598,0.0,6.199000000000002,7.159,19.817,71.869,Fossil Dependent
European Union (27),0,0,Developing,0.7755822833142418,0.06790978144127112,0.0,5.248000000000001,7.379,18.601,72.031,Fossil Dependent
Finland,1,-1,Developed,0.8249660077397761,0.2998021516013355,0.23043478260869574,19.396,9.492,34.897,45.3,Steady Transitioners
